date,label,value
"2021-08-27 13:13:00",17100-PE,0.17
"2021-08-27 13:13:00",17150-CE,0.38
"2021-08-27 13:13:00",17150-PE,0.09
"2021-08-27 13:14:50",17100-CE,4.97
"2021-08-27 13:14:50",17100-PE,0.17
"2021-08-27 13:14:50",17150-CE,0.38
"2021-08-27 13:14:50",17150-PE,0.09
"2021-08-27 13:16:39",17100-CE,4.98
"2021-08-27 13:16:39",17100-PE,0.17
"2021-08-27 13:16:39",17150-CE,0.39
"2021-08-27 13:16:39",17150-PE,0.09
"2021-08-27 13:18:23",17100-CE,4.98
"2021-08-27 13:18:23",17100-PE,0.17
"2021-08-27 13:18:23",17150-CE,0.39
"2021-08-27 13:18:23",17150-PE,0.09
"2021-08-27 13:20:28",17100-CE,4.98
"2021-08-27 13:20:28",17100-PE,0.17
"2021-08-27 13:20:28",17150-CE,0.39
"2021-08-27 13:20:28",17150-PE,0.09
"2021-08-27 13:22:17",17100-CE,4.98
"2021-08-27 13:22:17",17100-PE,0.17
"2021-08-27 13:22:17",17150-CE,0.39
"2021-08-27 13:22:17",17150-PE,0.09
"2021-08-27 13:24:09",17100-CE,4.98
"2021-08-27 13:24:09",17100-PE,0.17
"2021-08-27 13:24:09",17150-CE,0.39
"2021-08-27 13:24:09",17150-PE,0.09
"2021-08-27 13:26:03",17100-CE,4.98
"2021-08-27 13:26:03",17100-PE,0.17
"2021-08-27 13:26:03",17150-CE,0.39
"2021-08-27 13:26:03",17150-PE,0.09
"2021-08-27 13:27:58",17100-CE,4.99
"2021-08-27 13:27:58",17100-PE,0.17
"2021-08-27 13:27:58",17150-CE,0.39
"2021-08-27 13:27:58",17150-PE,0.09
"2021-08-27 13:29:49",17100-CE,4.99
"2021-08-27 13:29:49",17100-PE,0.17
"2021-08-27 13:29:49",17150-CE,0.38
"2021-08-27 13:29:49",17150-PE,0.09
"2021-08-27 13:31:42",17100-CE,4.99
"2021-08-27 13:31:42",17100-PE,0.17
"2021-08-27 13:31:42",17150-CE,0.39
"2021-08-27 13:31:42",17150-PE,0.09
"2021-08-27 13:33:54",17100-CE,4.99
